Image Src,Gift Card,Variant Compare At Price,Option2 Name,Option1 Name,Title,Option3 Name,Variant SKU,Google Shopping / Custom Product,Variant Inventory Tracker,Variant Taxable,Google Shopping / AdWords Grouping,Type,Google Shopping / MPN,Image Alt Text,Vendor,Variant Image,Tags,Google Shopping / Custom Label 3,Google Shopping / Custom Label 2,Variant Grams,Google Shopping / Custom Label 0,Google Shopping / Custom Label 4,Google Shopping / Age Group,Google Shopping / Custom Label 1,Variant Requires Shipping,Google Shopping / Google Product Category,Variant Weight Unit,Google Shopping / AdWords Labels,SEO Title,Google Shopping / Condition,Body(HTML),Published,Handle,Variant Barcode,Variant Inventory Qty,Variant Inventory Policy,Option3 Value,SEO Description,Google Shopping / Gender,Variant Price,Option2 Value,Option1 Value,Variant Fulfillment Service
,,,,Part Number,- E369M2,,AOS_E369M2,,shopify,,,Pumps,,,A.O. Smith,,"pumps,commercial,part,pool,no-image",,,,,,,,True,,None,,- E369M2,,,True,A.O. Smith E369M2,786674069153,5,deny,,- E369M2 None,,714.21,,E369M2,manual
,,,,Part Number,Motor- B2233,,AOS_B2233,,shopify,,,Pumps,,,A.O. Smith,,"motor,residential,part,pool,no-image",,,,,,,,True,,None,,Motor- B2233,,,True,A.O. Smith B2233,786674054807,5,deny,,Motor- B2233 None,,244.25,,B2233,manual
,,,,Part Number,- B2234,,AOS_B2234,,shopify,,,Pumps,,,A.O. Smith,,"pumps,residential,part,pool,no-image",,,,,,,,True,,None,,- B2234,,,True,A.O. Smith B2234,788674054784,5,deny,,- B2234 None,,325.39,,B2234,manual
,,,,Part Number,- B2235,,AOS_B2235,,shopify,,,Pumps,,,A.O. Smith,,"pumps,residential,part,pool,no-image",,,,,,,,True,,None,,- B2235,,,True,A.O. Smith B2235,786674054791,5,deny,,- B2235 None,,341.09,,B2235,manual
,,,,Part Number,- SQ1302V1,,AOS_SQ1302V1,,shopify,,,Pumps,,,A.O. Smith,,"pumps,residential,part,pool,no-image",,,,,,,,True,,None,,- SQ1302V1,,,True,A.O. Smith SQ1302V1,,5,deny,,- SQ1302V1 None,,468.79,,SQ1302V1,manual
,,,,Part Number,"OBSOLETE 1 HP, 230 VOLT, 6.4 AMP MOTOR, SINGLE SPEED- 371-0421",,AOS_371-0421,,shopify,,,Accessories,,,A.O. Smith,,"no-cat,no-image",,,,,,,,True,,,,"OBSOLETE 1 HP, 230 VOLT, 6.4 AMP MOTOR, SINGLE SPEED- 371-0421",,,True,A.O. Smith 371-0421,None,0,deny,,"OBSOLETE 1 HP, 230 VOLT, 6.4 AMP MOTOR, SINGLE SPEED- 371-0421 OBSOLETE 1 HP, 230 VOLT, 6.4 AMP MOTOR, SINGLE SPEED",,None,,371-0421,manual
,,,,Part Number,- HST150,,AOS_HST150,,shopify,,,Pumps,,,A.O. Smith,,"pumps,residential,part,pool,no-image",,,,,,,,True,,None,,- HST150,,,True,A.O. Smith HST150,786674033345,5,deny,,- HST150 None,,227.84,,HST150,manual
https://s3-us-west-1.amazonaws.com/oppics/full/AOS/AOS_AE100G5LL-Y.jpg,,,,Part Number,"2-1/2 HP HIGH, 1/3 HP LOW, 1.1 SF, 11.4/4.1 AMPS HI/LOW, 230V- AE100G5LL-Y",,AOS_AE100G5LL-Y,,shopify,,,Accessories,,AE100G5LL-Y,A.O. Smith,,"no-cat,has-image",,,,,,,,True,,,,"2-1/2 HP HIGH, 1/3 HP LOW, 1.1 SF, 11.4/4.1 AMPS HI/LOW, 230V- AE100G5LL-Y",,,True,A.O. Smith AE100G5LL-Y,None,0,deny,,"2-1/2 HP HIGH, 1/3 HP LOW, 1.1 SF, 11.4/4.1 AMPS HI/LOW, 230V- AE100G5LL-Y 2-1/2 HP HIGH, 1/3 HP LOW, 1.1 SF, 11.4/4.1 AMPS HI/LOW, 230V",,None,,AE100G5LL-Y,manual
,,,,Part Number,Motor- CPE56,,AOS_CPE56,,shopify,,,Pumps,,,A.O. Smith,,"motor,residential,part,pool,no-image",,,,,,,,True,,,,Motor- CPE56,,,True,A.O. Smith CPE56,None,5,deny,,Motor- CPE56 None,,2705.83,,CPE56,manual
,,,,Part Number,Motor- CPE57,,AOS_CPE57,,shopify,,,Pumps,,,A.O. Smith,,"motor,residential,part,pool,no-image",,,,,,,,True,,,,Motor- CPE57,,,True,A.O. Smith CPE57,None,5,deny,,Motor- CPE57 None,,2994.2,,CPE57,manual
,,,,Part Number,Motor- CPE55,,AOS_CPE55,,shopify,,,Pumps,,,A.O. Smith,,"motor,residential,part,pool,no-image",,,,,,,,True,,,,Motor- CPE55,,,True,A.O. Smith CPE55,None,5,deny,,Motor- CPE55 None,,2705.83,,CPE55,manual
,,,,Part Number,Motor- CPE52,,AOS_CPE52,,shopify,,,Pumps,,,A.O. Smith,,"motor,residential,part,pool,no-image",,,,,,,,True,,,,Motor- CPE52,,,True,A.O. Smith CPE52,None,5,deny,,Motor- CPE52 None,,2392.05,,CPE52,manual
,,,,Part Number,Motor- CPE50,,AOS_CPE50,,shopify,,,Pumps,,,A.O. Smith,,"motor,residential,part,pool,no-image",,,,,,,,True,,,,Motor- CPE50,,,True,A.O. Smith CPE50,None,5,deny,,Motor- CPE50 None,,2776.72,,CPE50,manual
,,,,Part Number,- 628318-307,,AOS_628318-307,,shopify,,,Pumps,,,A.O. Smith,,"pumps,residential,part,pool,no-image",,,,,,,,True,,None,,- 628318-307,,,True,A.O. Smith 628318-307,032206430266,5,deny,,- 628318-307 None,,33.98,,628318-307,manual
,,,,Part Number,- B969,,AOS_B969,,shopify,,,Pumps,,,A.O. Smith,,"pumps,residential,part,pool,no-image",,,,,,,,True,,None,,- B969,,,True,A.O. Smith B969,663001194903,5,deny,,- B969 None,,520.99,,B969,manual
https://s3-us-west-1.amazonaws.com/oppics/full/AOS/AOS_371-1621.jpg,,,,Part Number,"4 HP, 230 VOLT, 12.0 AMP MOTOR, SINGLE SPEED- 371-1621",,AOS_371-1621,,shopify,,,Accessories,,371-1621,A.O. Smith,,"no-cat,has-image",,,,,,,,True,,,,"4 HP, 230 VOLT, 12.0 AMP MOTOR, SINGLE SPEED- 371-1621",,,True,A.O. Smith 371-1621,None,0,deny,,"4 HP, 230 VOLT, 12.0 AMP MOTOR, SINGLE SPEED- 371-1621 4 HP, 230 VOLT, 12.0 AMP MOTOR, SINGLE SPEED",,None,,371-1621,manual
,,,,Part Number,Motor- TCP74009,,AOS_TCP74009,,shopify,,,Pumps,,,A.O. Smith,,"motor,residential,part,pool,no-image",,,,,,,,True,,,,Motor- TCP74009,,,True,A.O. Smith TCP74009,None,5,deny,,Motor- TCP74009 None,,2266.21,,TCP74009,manual
,,,,Part Number,- B808,,AOS_B808,,shopify,,,Pumps,,,A.O. Smith,,"pumps,residential,part,pool,no-image",,,,,,,,True,,None,,- B808,,,True,A.O. Smith B808,663001194330,5,deny,,- B808 None,,412.0,,B808,manual
,,,,Part Number,Motor- B809,,AOS_B809,,shopify,,,Pumps,,,A.O. Smith,,"motor,residential,part,pool,no-image",,,,,,,,True,,None,,Motor- B809,,,True,A.O. Smith B809,663001194347,5,deny,,Motor- B809 None,,428.41,,B809,manual
