Image Src,Gift Card,Variant Compare At Price,Option2 Name,Option1 Name,Title,Option3 Name,Variant SKU,Google Shopping / Custom Product,Variant Inventory Tracker,Variant Taxable,Google Shopping / AdWords Grouping,Type,Google Shopping / MPN,Image Alt Text,Vendor,Variant Image,Tags,Google Shopping / Custom Label 3,Google Shopping / Custom Label 2,Variant Grams,Google Shopping / Custom Label 0,Google Shopping / Custom Label 4,Google Shopping / Age Group,Google Shopping / Custom Label 1,Variant Requires Shipping,Google Shopping / Google Product Category,Variant Weight Unit,Google Shopping / AdWords Labels,SEO Title,Google Shopping / Condition,Body(HTML),Published,Handle,Variant Barcode,Variant Inventory Qty,Variant Inventory Policy,Option3 Value,SEO Description,Google Shopping / Gender,Variant Price,Option2 Value,Option1 Value,Variant Fulfillment Service
http://val-pakproducts.com/vpk/uploads/fns-plus-48-sqft-filter-element-v20-848-510x600.jpg,,,,Part Number,V20-848 - FNS Plus 48 sq. ft. Filter Element,,VAL_V20-848,,shopify,,,Filters,,V20-848,Val-Pak,,"val-pak,residential,american products,american,part,pool,val-pak,has-image",,,,,,,,True,,None,,V20-848 - FNS Plus 48 sq. ft. Filter Element,,,True,Val-Pak V20-848,811636020917,5,deny,,V20-848 - FNS Plus 48 sq. ft. Filter Element None,,214.2,,V20-848,manual
,,,,Part Number,V40-501 - PS-501 S.S. Pump Seal,,VAL_V40-501,,shopify,,,Pumps,,,Val-Pak,,"val-pak,pump seal,residential,part,pool,val-pak,no-image",,,,,,,,True,,None,,V40-501 - PS-501 S.S. Pump Seal,,,True,Val-Pak V40-501,,5,deny,,V40-501 - PS-501 S.S. Pump Seal None,,10.79,,V40-501,manual
,,,,Part Number,V40-460 - Bracket 1/3-2.0 HP,,VAL_V40-460,,shopify,,,Pumps,,,Val-Pak,,"val-pak,residential,part,pool,val-pak,no-image",,,,,,,,True,,None,,V40-460 - Bracket 1/3-2.0 HP,,,True,Val-Pak V40-460,811636023369,5,deny,,V40-460 - Bracket 1/3-2.0 HP None,,177.78,,V40-460,manual
,,,,Part Number,"V40-461 - 6"" Brass Pump Lid",,VAL_V40-461,,shopify,,,Pumps,,,Val-Pak,,"lid,val-pak,residential,part,pool,val-pak,no-image",,,,,,,,True,,None,,"V40-461 - 6"" Brass Pump Lid",,,True,Val-Pak V40-461,811636026780,5,deny,,"V40-461 - 6"" Brass Pump Lid None",,71.51,,V40-461,manual
,,,,Part Number,"V40-462 - 6"" Brass Trap 2"" NPT",,VAL_V40-462,,shopify,,,Miscellaneous,,,Val-Pak,,"val-pak,residential,part,pool access,pool,val-pak,no-image",,,,,,,,True,,None,,"V40-462 - 6"" Brass Trap 2"" NPT",,,True,Val-Pak V40-462,811636026797,5,deny,,"V40-462 - 6"" Brass Trap 2"" NPT None",,359.45,,V40-462,manual
,,,,Part Number,"V40-463 - 5"" Brass Pump Lid",,VAL_V40-463,,shopify,,,Pumps,,,Val-Pak,,"lid,val-pak,residential,part,pool,val-pak,no-image",,,,,,,,True,,None,,"V40-463 - 5"" Brass Pump Lid",,,True,Val-Pak V40-463,811636023376,5,deny,,"V40-463 - 5"" Brass Pump Lid None",,61.91,,V40-463,manual
,,,,Part Number,"V40-464 - 5"" Brass Trap 2"" NPT",,VAL_V40-464,,shopify,,,Miscellaneous,,,Val-Pak,,"val-pak,residential,part,pool access,pool,val-pak,no-image",,,,,,,,True,,None,,"V40-464 - 5"" Brass Trap 2"" NPT",,,True,Val-Pak V40-464,811636025943,5,deny,,"V40-464 - 5"" Brass Trap 2"" NPT None",,281.7,,V40-464,manual
http://val-pakproducts.com/vpk/uploads/dura-glas-max-e-glas-5-inch-pump-basket-V40-465-510x600.jpg,,,,Part Number,"V40-465 - Dura-Glas/Max-E-Glas 5"" Pump Basket 16/Box",,VAL_V40-465,,shopify,,,Pumps,,V40-465,Val-Pak,,"val-pak,val-pak,residential,part,pool,sta-rite,has-image",,,,,,,,True,,None,,"V40-465 - Dura-Glas/Max-E-Glas 5"" Pump Basket 16/Box",,,True,Val-Pak V40-465,811636023383,5,deny,,"V40-465 - Dura-Glas/Max-E-Glas 5"" Pump Basket 16/Box None",,13.61,,V40-465,manual
,,,,Part Number,"V40-466 - 6"" Pump Basket",,VAL_V40-466,,shopify,,,Pumps,,,Val-Pak,,"val-pak,residential,part,pool,val-pak,no-image",,,,,,,,True,,None,,"V40-466 - 6"" Pump Basket",,,True,Val-Pak V40-466,811636026803,5,deny,,"V40-466 - 6"" Pump Basket None",,21.34,,V40-466,manual
,,,,Part Number,V40-467 - Pump Base ABS Plastic,,VAL_V40-467,,shopify,,,Pumps,,,Val-Pak,,"val-pak,residential,part,pool,val-pak,no-image",,,,,,,,True,,None,,V40-467 - Pump Base ABS Plastic,,,True,Val-Pak V40-467,811636025950,5,deny,,V40-467 - Pump Base ABS Plastic None,,39.19,,V40-467,manual
