category,type,part_number,title,price,upc,weight,length,width,height,primary_site,manufacturer
Part,Automation,270038,SPCR RING DIV VLV ,0.39,788379674625,0.01,N/A,N/A,N/A,W,Pentair
Part,Automation,270056,"DIV ASY 2/3WAY VLV 2"" ",24.94,788379674632,3,N/A,N/A,N/A,W,Pentair
Part,Automation,270075,DIV ASY 2/3 WAY VLV 1.5 ,28.69,788379674649,1,6,3,3,W,Pentair
Part,Automation,270077,GEAR SET FOR CVA-24 ,19.83,788379674656,0.01,N/A,N/A,N/A,W,Pentair
Part,Automation,270078,PCB PC11029B ALTERNATE ,33.48,788379674663,0.01,N/A,N/A,N/A,W,Pentair
Part,Automation,270094,DIV ASY SOLAR VLV ,41.83,788379674670,0.01,N/A,N/A,N/A,W,Pentair
Part,Automation,270106Z,"SHFT DIV ASY RPLCMNT 2.5""x3"" DIV VLV",32.22,788379852597,0.44,12,8,N/A,R,Pentair
Part,Automation,270107Z,"SHAFT DIV ASY RPLCMNT SOLAR 2.5""x3"" VLV",47.73,788379852603,0.44,12,8,N/A,R,Pentair
Part,Automation,270115Z,CVR DIV VLV RPLCMNT ,9.55,,0.451,6,6,6,R,Pentair
Part,Automation,270116Z,ORING 2-248 RPLCMNT BUNA N 70 SHORE A,2.98,788379865467,0.013,12,8,N/A,R,Pentair
Part,Automation,270118Z,HANDLE RPLCMNT ,10.14,,0.198,12,8,N/A,R,Pentair
Part,Automation,271072Z,PIN HNDL STOP RPLCMNT ,0.8,,N/A,8,5,N/A,R,Pentair
Part,Automation,271073Z,SPACER ORING RPLCMNT ,1.49,788379865474,N/A,8,5,N/A,R,Pentair
Part,Automation,271074Z,SCR HNDL LCK RPLCMNT DIV VLV,6.37,,N/A,8,5,N/A,R,Pentair
Part,Automation,271077Z,SCR .25x1L HILO RPLCMNT PAN PHIL HD 304SS 18-8,17.9,,0.171,5,8,N/A,R,Pentair
Part,Automation,2COND,CBL 2 CONDUCT 22 AWG ,107.75,788379652449,9,12,12,13,w,Pentair
Part,Automation,357153,"GSKT SNTPRME 2"" ORTGA ",5.01,788379659738,0.01,N/A,N/A,N/A,w,Pentair
Part,Automation,41400-0004,COVER SHURFLO 132031 ,8.73,22315303812,0.01,N/A,N/A,N/A,W,Pentair
