Part/WG,Category,part_number,title,price,upc,weight,length,width,height,Primary Site,,
Whole Good,Pumps,022013,PMP XF-12 230V 3HP STD EFFICIENCY FULL RATE, 734.69 ,788379805807,60.00,28.50,14.50,18.00,E,,
Whole Good,Pumps,022017,PMP XFK-8 2HP TEFC 208-230/460V WFXF, 676.05 ,788379851859,60.00,27.00,13.00,16.00,E,,
Whole Good,Pumps,022018,PMP XFK-12 3HP TEFC 208-230/460V WFXF, 762.05 ,788379851866,60.00,28.50,14.50,18.00,E,,
Whole Good,Pumps,022019,PMP XFK-20 5HP TEFC 208-230/460V WFXF," 1,340.12 ",788379851873,72.00,30.00,13.00,17.00,E,,
Whole Good,Pumps,022026,PMP XFDS30 2.5HP 230V 2SPD UPRATED, 696.60 ,788379851828,60.00,27.00,13.00,16.00,E,,
Whole Good,Pumps,022027,PMP XF30 2.5HP 208-230V STD UPRATED, 547.98 ,788379851835,55.00,27.00,13.00,16.00,E,,
Whole Good,Pumps,022028,PMP XFE-30 2.5HP 208/230 V E+, 595.94 ,788379851842,55.00,27.00,13.00,16.00,E,,
Whole Good,Pumps,023005,PMP INP-VS INTLPRO XF VARIABLE SPEED, 940.77 ,788379855956,56.00,27.00,13.00,16.00,E,,
Whole Good,Pumps,023007,PMP XPDS-8 208-230V 2HP 2SP FULL RATED, 675.57 ,788379851972,60.00,30.50,13.00,17.50,E,,
Whole Good,Pumps,023008,PMP XPDS-12 230V 3HP 2SP FULL RATED, 781.65 ,788379851989,66.00,30.50,13.00,17.50,E,,
Whole Good,Pumps,023009,PMP XPE-8 208-230V 2HP EE FULL RATED, 558.32 ,788379851958,55.00,30.50,13.00,17.50,E,,
Whole Good,Pumps,023010,PMP XPE-12 208-230V 3HP , 761.28 ,788379848620,56.00,30.50,13.00,17.50,E,,
Whole Good,Pumps,023011,PMP XPE-20 208-230V 5HP EE FULL RATED," 1,327.69 ",788379851965,72.00,30.50,13.00,17.50,E,,
Whole Good,Pumps,023012,PMP XP-8 208-230V 2HP STD EFF FULL RATED, 538.22 ,788379851941,55.00,30.50,13.00,17.50,E,,
Whole Good,Pumps,023013,PMP XP-12 230V 3HP STD EFF FULL RATE, 734.69 ,788379848637,56.00,30.50,13.00,17.50,E,,
Whole Good,Pumps,023017,PMP XPK-8 2HP TEFC 208-230/460V MPXF, 676.05 ,788379852023,55.00,27.00,13.00,16.00,E,,
Whole Good,Pumps,023018,PMP XPK-12 3HP TEFC 208-230/460V MPXF, 762.05 ,788379852003,60.00,27.00,13.00,16.00,E,,
Whole Good,Pumps,023019,PMP XPK-20 5HP TEFC 208-230/460V MPXF," 1,340.12 ",788379852047,65.00,27.00,13.00,16.00,E,,
Whole Good,Pumps,023026,PMP XPDS-30 208-230V 2.5HP 2SP UP RATED, 696.60 ,788379851996,60.00,30.50,13.00,17.50,E,,
Whole Good,Pumps,023027,PMP XP-30 208-230V 2.5HP STD UP RATED, 547.98 ,788379852009,55.00,30.50,13.00,17.50,E,,
Whole Good,Pumps,023028,PMP XPE-30 208-230v 2.5hp EE Up-Rated, 595.94 ,788379852016,55.00,30.50,13.00,17.50,E,,
Whole Good,Lights,05082-0025,LT 300W 12V CLR LENS 25' , 171.05 ,788379717674,9.000,12.00,12.00,11.00,W,,
Whole Good,Lights,05082-0050,LT 300W 12V CLR LENS 50' , 188.82 ,788379717681,12.00,12.00,12.00,11.00,W,,
Whole Good,Lights,05082-0100,LT 300W 12V CLR LENS 100 , 200.24 ,788379717698,19.00,12.00,12.00,11.00,W,,
Whole Good,Lights,05086-0025,LT 500W 120V CLR LENS 25', 147.49 ,788379717704,9.000,12.00,12.00,11.00,W,,
Whole Good,Lights,05086-0050,LT 500W 120V CLR LENS 50', 162.86 ,788379717711,10.00,12.00,12.00,11.00,W,,
Whole Good,Lights,05086-0100,LT 500W 120V CLR LENS 100', 193.55 ,788379717728,14.00,12.00,12.00,11.00,W,,
Whole Good,Lights,05086-0150,500W 120V CLR LENS 150' , 228.47 ,788379717735,18.00,12.00,12.00,11.00,W,,
Whole Good,Lights,05086-0250,500W 120V CLR LENS 250' , 234.87 ,788379717742,1.000,N/A,N/A,N/A,W,,
Whole Good,Lights,05603-2030,LT UW 12V 75W 30'SUNLT , 146.29 ,788379718497,4.550,8.500,8.250,8.500,W,,
Whole Good,Lights,05603-2050,LT UW 12V 75W 50' SUNLT , 158.26 ,788379718503,4.550,8.500,8.250,8.500,W,,
Whole Good,Lights,05603-2100,LT UW 12V 75W 100' SUNLT , 195.83 ,788379718510,11.00,12.00,12.00,11.00,W,,
Whole Good,Lights,05605-2030,LT UW 120V 100W 30'SNLT , 146.29 ,788379718527,4.000,8.500,8.250,8.500,W,,
Whole Good,Lights,05605-2050,LT UW 120V 100W 50'SNLT , 152.94 ,788379718534,4.000,8.500,8.250,8.500,W,,
Whole Good,Lights,05605-2100,LT UW 120V 100W 100'SNLT , 183.75 ,788379718541,5.000,12.00,12.00,11.00,W,,
Whole Good,Lights,05605-2250,LT UW 120V 100W 250'SNLT , 246.46 ,788379802370,17.50,14.00,14.00,10.00,W,,
Whole Good,Lights,05607-2030,LT UW 120V 250W 30'SNLT , 144.95 ,788379718558,5.000,8.500,8.250,8.500,W,,
Whole Good,Lights,05607-2050,LT UW 120V 250W 50'SNLT , 152.93 ,788379718565,6.000,8.500,8.250,8.500,W,,
Whole Good,Lights,05607-2100,LT UW 120V 250W 100'SNLT , 183.75 ,788379718572,13.00,12.00,12.00,11.00,W,,
Whole Good,Lights,05607-2250,LT UW 120V 250W 250'SNLT , 248.95 ,788379805296,17.50,14.00,14.00,10.00,W,,
Whole Good,Pumps,070112,PWREND INTELLIFLO VF ASY ," 1,036.28 ",788379785314,N/A,N/A,N/A,N/A,E,,
