Feed Processing Summary:
	Number of records processed		916
	Number of records successful		462

original-record-number	sku	error-code	error-type	error-message
125	VAL_V20-281	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
125	VAL_V20-281	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
126	VAL_V40-612-LE	8560	Error	SKU VAL_V40-612-LE, Missing Attributes product_type. SKU VAL_V40-612-LE does not match any ASIN. Creation of a new ASIN requires the following missing attributes: product_type. Feed ID: 0. For details, see http://sellercentral.amazon.com/gp/errorcode/200692370
126	VAL_V40-612-LE	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
126	VAL_V40-612-LE	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
128	VAL_11030020	8560	Error	SKU VAL_11030020, Missing Attributes product_type. SKU VAL_11030020 does not match any ASIN. Creation of a new ASIN requires the following missing attributes: product_type. Feed ID: 0. For details, see http://sellercentral.amazon.com/gp/errorcode/200692370
128	VAL_11030020	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
128	VAL_11030020	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
129	VAL_V20-500	8560	Error	SKU VAL_V20-500, Missing Attributes product_type. SKU VAL_V20-500 does not match any ASIN. Creation of a new ASIN requires the following missing attributes: product_type. Feed ID: 0. For details, see http://sellercentral.amazon.com/gp/errorcode/200692370
129	VAL_V20-500	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
129	VAL_V20-500	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
13	VAL_V20-407	8560	Error	SKU VAL_V20-407, Missing Attributes product_type. SKU VAL_V20-407 does not match any ASIN. Creation of a new ASIN requires the following missing attributes: product_type. Feed ID: 0. For details, see http://sellercentral.amazon.com/gp/errorcode/200692370
13	VAL_V20-407	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
13	VAL_V20-407	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
131	VAL_V36-110S	8026	Error	You are not authorized to list products in this category. To sell products in this category you need to obtain approval by following the instructions given here:http://sellercentral.amazon.com/gp/help/200333160
132	VAL_159050M-1	8560	Error	SKU VAL_159050M-1, Missing Attributes product_type. SKU VAL_159050M-1 does not match any ASIN. Creation of a new ASIN requires the following missing attributes: product_type. Feed ID: 0. For details, see http://sellercentral.amazon.com/gp/errorcode/200692370
132	VAL_159050M-1	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
132	VAL_159050M-1	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
133	VAL_V36-160	8560	Error	SKU VAL_V36-160, Missing Attributes product_type. SKU VAL_V36-160 does not match any ASIN. Creation of a new ASIN requires the following missing attributes: product_type. Feed ID: 0. For details, see http://sellercentral.amazon.com/gp/errorcode/200692370
133	VAL_V36-160	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
133	VAL_V36-160	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
135	VAL_11007000	8560	Error	SKU VAL_11007000, Missing Attributes product_type. SKU VAL_11007000 does not match any ASIN. Creation of a new ASIN requires the following missing attributes: product_type. Feed ID: 0. For details, see http://sellercentral.amazon.com/gp/errorcode/200692370
135	VAL_11007000	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
135	VAL_11007000	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
136	VAL_V40-510-T3	8560	Error	SKU VAL_V40-510-T3, Missing Attributes product_type. SKU VAL_V40-510-T3 does not match any ASIN. Creation of a new ASIN requires the following missing attributes: product_type. Feed ID: 0. For details, see http://sellercentral.amazon.com/gp/errorcode/200692370
136	VAL_V40-510-T3	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
136	VAL_V40-510-T3	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
139	VAL_V20-672	8026	Error	You are not authorized to list products in this category. To sell products in this category you need to obtain approval by following the instructions given here:http://sellercentral.amazon.com/gp/help/200333160
14	VAL_V20-068	99011	Warning	The value in the "leadtime-to-ship" (30) field was ignored because it is invalid or conflicts with the value in another field.: [fulfillment-center-id = "AMAZON_NA"].
14	VAL_V20-068	99011	Warning	The value in the "quantity" (0) field was ignored because it is invalid or conflicts with the value in another field.: [fulfillment-center-id = "AMAZON_NA"].
141	VAL_V40-613-LE	8560	Error	SKU VAL_V40-613-LE, Missing Attributes product_type. SKU VAL_V40-613-LE does not match any ASIN. Creation of a new ASIN requires the following missing attributes: product_type. Feed ID: 0. For details, see http://sellercentral.amazon.com/gp/errorcode/200692370
141	VAL_V40-613-LE	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
141	VAL_V40-613-LE	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
143	VAL_V20-063	8560	Error	SKU VAL_V20-063, Missing Attributes product_type. SKU VAL_V20-063 does not match any ASIN. Creation of a new ASIN requires the following missing attributes: product_type. Feed ID: 0. For details, see http://sellercentral.amazon.com/gp/errorcode/200692370
143	VAL_V20-063	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
143	VAL_V20-063	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
144	VAL_V20-060	8560	Error	SKU VAL_V20-060, Missing Attributes product_type. SKU VAL_V20-060 does not match any ASIN. Creation of a new ASIN requires the following missing attributes: product_type. Feed ID: 0. For details, see http://sellercentral.amazon.com/gp/errorcode/200692370
144	VAL_V20-060	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
144	VAL_V20-060	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
145	VAL_V20-061	8560	Error	SKU VAL_V20-061, Missing Attributes product_type. SKU VAL_V20-061 does not match any ASIN. Creation of a new ASIN requires the following missing attributes: product_type. Feed ID: 0. For details, see http://sellercentral.amazon.com/gp/errorcode/200692370
145	VAL_V20-061	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
145	VAL_V20-061	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
147	VAL_V20-067	8560	Error	SKU VAL_V20-067, Missing Attributes product_type. SKU VAL_V20-067 does not match any ASIN. Creation of a new ASIN requires the following missing attributes: product_type. Feed ID: 0. For details, see http://sellercentral.amazon.com/gp/errorcode/200692370
147	VAL_V20-067	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
147	VAL_V20-067	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
148	VAL_V20-064	99011	Warning	The value in the "leadtime-to-ship" (30) field was ignored because it is invalid or conflicts with the value in another field.: [fulfillment-center-id = "AMAZON_NA"].
148	VAL_V20-064	99011	Warning	The value in the "quantity" (0) field was ignored because it is invalid or conflicts with the value in another field.: [fulfillment-center-id = "AMAZON_NA"].
149	VAL_V20-065	99011	Warning	The value in the "leadtime-to-ship" (30) field was ignored because it is invalid or conflicts with the value in another field.: [fulfillment-center-id = "AMAZON_NA"].
149	VAL_V20-065	99011	Warning	The value in the "quantity" (0) field was ignored because it is invalid or conflicts with the value in another field.: [fulfillment-center-id = "AMAZON_NA"].
15	VAL_11005010	8560	Error	SKU VAL_11005010, Missing Attributes product_type. SKU VAL_11005010 does not match any ASIN. Creation of a new ASIN requires the following missing attributes: product_type. Feed ID: 0. For details, see http://sellercentral.amazon.com/gp/errorcode/200692370
15	VAL_11005010	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
15	VAL_11005010	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
150	VAL_V34-016	8560	Error	SKU VAL_V34-016, Missing Attributes product_type. SKU VAL_V34-016 does not match any ASIN. Creation of a new ASIN requires the following missing attributes: product_type. Feed ID: 0. For details, see http://sellercentral.amazon.com/gp/errorcode/200692370
150	VAL_V34-016	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
150	VAL_V34-016	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
153	VAL_V20-069	99011	Warning	The value in the "leadtime-to-ship" (30) field was ignored because it is invalid or conflicts with the value in another field.: [fulfillment-center-id = "AMAZON_NA"].
153	VAL_V20-069	99011	Warning	The value in the "quantity" (0) field was ignored because it is invalid or conflicts with the value in another field.: [fulfillment-center-id = "AMAZON_NA"].
156	VAL_V20-812-L	8560	Error	SKU VAL_V20-812-L, Missing Attributes product_type. SKU VAL_V20-812-L does not match any ASIN. Creation of a new ASIN requires the following missing attributes: product_type. Feed ID: 0. For details, see http://sellercentral.amazon.com/gp/errorcode/200692370
156	VAL_V20-812-L	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
156	VAL_V20-812-L	13013	Error	This SKU does not exist in your Amazon inventory so we could not process this record. To correct this error for future feeds, add the SKU to your Amazon account. For more information, see http://sellercentral.amazon.com/gp/errorcode/13013.
157	VAL_V20-809-L	8560	Error	SKU VAL_V20-809-L, Missing Attributes product_type. SKU VAL_V20-809-L does not match any ASIN. Creation of a new ASIN requires the following missing attributes: product_type. Feed ID: 0. For details, see http://sellercentral.amazon.com/gp/errorcode/200692370
