type,category,part_number,title,price,upc,weight,length,width,height,location,manufacturer
wholegood,White Goods,540000,FTG HYDSTRM SLTD WHT 50P ,1.4,7.88E+11,0.5,16.5,14.5,8.5,R,Pentair
wholegood,White Goods,540001,FTG HYDRSTRM SLTD BLK 50 PACK,1.4,7.88E+11,0.1,N/A,N/A,N/A,R,Pentair
wholegood,White Goods,540002,FTG HYDRSTRM SLTD DKGRAY 50 PACK,1.4,7.88E+11,0.1,N/A,N/A,N/A,R,Pentair
wholegood,White Goods,540003,FTG HYDRSTRM SLTD 50PK GRY,1.4,7.88E+11,0.1,N/A,N/A,N/A,R,Pentair
wholegood,White Goods,540007,FTG HYDRSTRM 3/8 50PK WHT,1.4,7.88E+11,0.5,16.5,14.5,8.5,R,Pentair
wholegood,White Goods,540008,FTG HYDRSTRM 3/8 50PK BLK,1.4,7.88E+11,0.1,N/A,N/A,N/A,R,Pentair
wholegood,White Goods,540009,FTG HYDRSTRM 3/8 50PK DK GRY,1.4,7.88E+11,0.1,N/A,N/A,N/A,R,Pentair
wholegood,White Goods,540010,FTG HYDRSTRM 3/8  50PK GRY,1.4,7.88E+11,0.1,N/A,N/A,N/A,R,Pentair
wholegood,White Goods,540014,FTG HYDRSTRM 1/2 50PK WHT,1.4,7.88E+11,0.1,16.5,14.5,8.5,R,Pentair
wholegood,White Goods,540015,FTG HYDRSTRM 1/2 50PK BLK,1.4,7.88E+11,0.1,8.5,8.5,8.5,R,Pentair
wholegood,White Goods,540016,FTG HYDRSTRM 1/2 50PK DK GRY,1.4,7.88E+11,0.1,N/A,N/A,N/A,R,Pentair
wholegood,White Goods,540017,FTG HYDRSTRM 1/2 50PK GRY,1.4,7.88E+11,0.1,N/A,N/A,N/A,R,Pentair
wholegood,White Goods,540021,FTG HYDRSTRM 3/4 50PK WHT,1.4,7.88E+11,0.1,16.5,14.5,8.5,R,Pentair
wholegood,White Goods,540022,FTG HYDRSTRM 3/4 50PK BLK,1.4,7.88E+11,0.1,N/A,N/A,N/A,R,Pentair
wholegood,White Goods,540023,FTG HYDRSTRM 3/4 50PK DK GRY,1.4,7.88E+11,0.1,N/A,N/A,N/A,R,Pentair
