part_number,title,price,oem,upc,manufacturer
V34-003,1 1/2 HP AR Pump Impeller,$47.26,,811636021723,Val-Pak
V34-004,2 HP AR Pump Impeller,$47.26,,811636021730,Val-Pak
V34-005,2 1/2 HP AR Pump Impeller,$47.26,,811636024939,Val-Pak
V34-006,Brass Seal Plate - AR Pump,$184.04,,,Val-Pak
V34-012,Seal Plate O-Ring - AR Pump,$5.06,,811636021754,Val-Pak
V34-011,Diffuser 1 - 2 1/2 Horsepower - AR Pump,$13.25,,811636021747,Val-Pak
V34-013,Diffuser Seal O-ring - AR Pump,$8.19,,811636021761,Val-Pak
V40-453,1/2 HP Brass Impeller,$45.68,4381,811636023307,Val-Pak
V40-454,3/4 HP Brass Impeller,$45.68,6323,811636023314,Val-Pak
V40-455,1 HP Brass Impeller,$45.68,6324,811636023321,Val-Pak
V40-456,1 1/2 HP Brass Impeller,$45.68,6325,811636023338,Val-Pak
V40-457,2 HP Brass Impeller,$45.68,6326,811636023345,Val-Pak
V40-469,Impeller Wrench,$24.41,,811636023406,Val-Pak
V30-461,1/2 - 2 HP Bracket (w/ Foot),$116.33,4378,,Val-Pak
V40-116S,Stub Shaft without O-Ring ,$15.55,,811636023093,Val-Pak
V40-116,Stub Shaft without O-Ring (10/Bag),$10.37,4377,811636023093,Val-Pak
V40-115S,H & F Gasket ,$2.97,,811636023086,Val-Pak
V40-115,H & F Gasket (12/Bag),$1.85,G44,811636023086,Val-Pak
V40-401S,1/4 x 20 Set Screw S.S. ,$0.79,,811636023147,Val-Pak
V40-401,1/4 x 20 Set Screw S.S. (100/Bag),$0.52,,811636023147,Val-Pak
V40-468,"Lock Handle, Bronze/S.S. Stud",$11.70,4390,811636023390,Val-Pak
V34-014,Heater Return Header,$137.72,15977,,Val-Pak
,Anthony Filter Parts,,,,Val-Pak
V34-016,"Piston, Cap and Handle 1 1/2"" (Brass)",$129.58,4906,811636021785,Val-Pak
V34-022,"Piston, Cap and Handle 2"" (Brass)",$140.03,4908,811636021839,Val-Pak
V34-015,"Piston & Shaft 1 1/2"" - 16 1/2"" long",$81.07,4907,811636021778,Val-Pak
V34-140,"Piston & Shaft 1 1/2"" - 17 1/2"" long",$118.31,,811636022041,Val-Pak
V34-020,"Piston & Shaft 2"" - 16 1/2"" long",$87.14,4909,811636021815,Val-Pak
V34-152,"Piston Cap 1 1/2"" - Brass",$36.75,17754,811636022133,Val-Pak
V34-153,"Piston Cap 2"" - Brass",$38.77,17753,811636022140,Val-Pak
V34-127,Piston Handle w/ Set Screw,$12.02,17604,811636021921,Val-Pak
V34-135S,"1/4"" S.S. Set Screw ",$1.18,,811636022003,Val-Pak
V34-135,"1/4"" S.S. Set Screw (25/Bag)",$0.79,24951,811636022003,Val-Pak
V34-171,"2"" Rubber Hose w/ S.S. Clamp (2 Hoses, 4 Clamps)",$22.35,,811636022225,Val-Pak
V34-172,"1 1/2"" Rubber Hose w/ S.S. Clamp (2 Hoses, 4 Clamps)",$21.03,,811636022232,Val-Pak
V34-115S,"Piston O-Ring Set 1 1/2"" - Brass ",$2.54,,811636021846,Val-Pak
V34-115,"Piston O-Ring Set 1 1/2"" - Brass (25/Bag)",$1.69,,811636021846,Val-Pak
V34-120S,"Piston O-Ring Set 2"" - Brass (25/Bag)",$2.54,,811636021853,Val-Pak
V34-120,"Piston O-Ring Set 2"" - Brass (25/Bag)",$1.69,,811636021853,Val-Pak
V34-141S,"Piston O-Ring Set 2"" - Plastic ",$2.54,,811636022058,Val-Pak
V34-141,"Piston O-Ring Set 2"" - Plastic (25/Bag)",$2.00,,811636022058,Val-Pak
V34-021S,"Spring Pin, S.S. ",$1.22,,811636021822,Val-Pak
V34-021,"Spring Pin, S.S. (25/Bag)",$0.81,,811636021822,Val-Pak
V34-168,"2"" Brass Selector Valve (Threaded), Complete",$328.02,,811636027138,Val-Pak
V34-143,"Grid Assembly, Complete VA-52-2""",$291.00,4794,811636022065,Val-Pak
V34-144,"Grid Assembly, Complete VA-52-1 1/2""",$291.00,4773,811636022072,Val-Pak
V34-145,"Grid Assembly, Complete VA-38",$241.54,4772,811636022089,Val-Pak
V34-146,"Grid Assembly, Complete VA-32",$241.54,4771,811636026995,Val-Pak
V34-147,"Grid Assembly, Complete VA-26",$241.54,4770,811636022096,Val-Pak
V34-128S,"Filter Grid 13.5"" x 24"" ",$16.75,,811636021938,Val-Pak
V34-128,"Filter Grid 13.5"" x 24"" (25/Bag)",$13.40,17564,811636021938,Val-Pak
V34-129S,"Filter Grid 17.5"" x 24"" ",$19.89,,811636021945,Val-Pak
V34-129,"Filter Grid 17.5"" x 24"" (25/Bag)",$15.90,17565,811636021945,Val-Pak
V34-157,"Top Shell Assembly (VA-26, 32, 38) - 13"" x 18 1/2"" dia.",$289.21,,811636027008,Val-Pak
V34-158,"Top Shell Assembly (VA-52-1 1/2"" & 2"")- 12 1/4"" x 21"" dia.",$301.04,,811636022164,Val-Pak
V34-154S,"Tank Lid O-Ring 18"" ",$12.69,,811636022157,Val-Pak
V34-154,"Tank Lid O-Ring 18"" (25/Bag)",$8.45,17433,811636022157,Val-Pak
V34-139S,"Tank Lid O-Ring 20"" ",$14.56,,811636022034,Val-Pak
V34-139,"Tank Lid O-Ring 20"" (25/Bag)",$9.70,17434,811636022034,Val-Pak
V34-125,"Filter Shaft 17 1/4""",$23.66,17007,811636021907,Val-Pak
V34-126,"Filter Shaft 19 3/4""",$24.98,17006,811636021914,Val-Pak
V34-130,"Collection Elbow 1 1/2"" ",$13.07,17572,811636021952,Val-Pak
V34-131,"Collection Elbow 2"" ",$13.07,17571,811636021969,Val-Pak
V34-163,"Inlet Elbow 2"" ",$13.07,17525,811636027145,Val-Pak
V34-164,"Inlet Pipe 2"" ",$27.61,,811636022195,Val-Pak
V34-166,"Inlet Pipe 1 1/2"" ",$27.61,,811636022201,Val-Pak
V34-136S,Internal Air Bleed Assembly ,$9.68,,811636022010,Val-Pak
V34-136,Internal Air Bleed Assembly (10/Bag),$6.45,,811636022010,Val-Pak
V34-121S,"Insert Nut, Brass ",$8.18,,811636021860,Val-Pak
V34-121,"Insert Nut, Brass (10/Bag)",$5.45,17576,811636021860,Val-Pak
V34-149,"Grid Spacer 1"" ",$6.57,17430,811636022102,Val-Pak
V34-150,"Grid Spacer 1-1/2""",$13.15,17575,811636022119,Val-Pak
V34-122,Rear End Bell (with Set Screw),$15.77,17410,811636021877,Val-Pak
V34-123S,Set Screw - Rear End Bell ,$1.22,,811636021884,Val-Pak
V34-123,Set Screw - Rear End Bell (25/Bag),$0.81,024924SS,811636021884,Val-Pak
V34-161,"1/4"" Pressure Gauge 0-60 PSI",$4.56,,811636022171,Val-Pak
V34-162,"1/4"" Brass Tee",$5.65,,811636022188,Val-Pak
V34-132,"18"" Tank Clamp",$59.47,17745,811636021976,Val-Pak
V34-133,"20"" Tank Clamp",$62.47,17746,811636021983,Val-Pak
V34-151S,Tank Clamp Nut N/S Brass ,$2.75,,811636022126,Val-Pak
V34-151,Tank Clamp Nut N/S Brass (25/Bag),$1.84,17762,811636022126,Val-Pak
V34-138S,Face Ring Light Screw & Retainer ,$7.43,,811636022027,Val-Pak
V34-138,Face Ring Light Screw & Retainer (10/Bag),$4.95,14434,811636022027,Val-Pak
,Anthony Skimmer Parts,,,,Val-Pak
V34-124,Diverter Valve O/S,$21.91,5227,811636021891,Val-Pak
V34-134,Long Diverter for U3 Skimmer,$29.11,6683,811636021990,Val-Pak
V38-100,Thread Lock Diverter,$11.00,6414,811636022447,Val-Pak
V34-017S,"Anthony Skimmer Basket 7"" x 7"" ",$13.51,,811636021792,Val-Pak
V34-017,"Anthony Skimmer Basket 7"" x 7"" (18/Box)",$9.00,2908,811636021792,Val-Pak
V34-018,"9"" x 9"" Skimmer Lid (Precast Skimmer)",$30.16,,811636021808,Val-Pak
,A O Smith Heater Parts,,,,Val-Pak
V44-100,Thermostat,$100.16,,811636024021,Val-Pak
V44-105,160 High Limit Switch,$112.68,,811636024038,Val-Pak
V44-106,130 High Limit Switch,$60.09,,811636024045,Val-Pak
,Aqua-Flo A Series Pump & Motor 115/230 60Hz,,,,Val-Pak
11003000,"1/3 HP 115/230 1-1/2"" Suction 5"" Trap",$646.58,,811636025028,Val-Pak
11005000,"1/2 HP 115/230 1-1/2"" Suction 5"" Trap",$646.58,,811636025035,Val-Pak
11007000,"3/4 HP 115/230 1-1/2"" Suction 5"" Trap",$658.55,,811636025042,Val-Pak
11010000,"1.0 HP 115/230 2"" Suction 5"" Trap",$668.81,,811636025059,Val-Pak
11015000,"1.5 HP 115/230 2"" Suction 5"" Trap",$721.83,,811636025066,Val-Pak
11020000,"2.0 HP 230 Volt 2"" Suction 5"" Trap",$783.40,,811636025073,Val-Pak
11030000,"3.0 HP 230 Volt 2"" Suction 6"" Trap","$1,009.19",,811636025080,Val-Pak
,Aqua-Flo A Series Pump & Motor 115/230 60Hz Less Trap ,,,,Val-Pak
11003010,"1/3 HP 115/230 1-1/2"" Suction Less Trap",$550.13,,811636020047,Val-Pak
11005010,"1/2 HP 115/230 1-1/2"" Suction Less Trap",$550.13,,811636020252,Val-Pak
11007010,"3/4 HP 115/230 1-1/2"" Suction Less Trap",$562.49,,811636020993,Val-Pak
11010010,"1.0 HP 115/230 1-1/2"" Suction Less Trap",$572.58,,811636021006,Val-Pak
11015010,"1.5 HP 115/230 1-1/2"" Suction Less Trap",$626.10,,811636022737,Val-Pak
11020010,"2.0 HP 230 Volt 1-1/2"" Suction Less Trap",$688.26,,811636022836,Val-Pak
11030020,"3.0 HP 230 Volt 1-1/2"" Suction Less Trap",$916.20,,811636026124,Val-Pak
,Aqua-Flo A Series Pump & Motor 208-230/460  50/60Hz 3 PH DP,,,,Val-Pak
11505000,1/2 HP 208-230/460 1-1/2 Suction,$685.37,,811636026131,Val-Pak
11507000,3/4 HP 208-230/460 1-1/2 Suction,$698.06,,811636026148,Val-Pak
11510000,"1.0 HP 208-230/460 2"" Suction",$708.94,,811636026155,Val-Pak
11515000,"1.5 HP 208-230/460 2"" Suction",$765.14,,811636026162,Val-Pak
11520000,"2.0 HP 208-230/460 2"" Suction",$830.41,,811636026179,Val-Pak
11530000,"3.0 HP 208-230/460 2"" Suction","$1,069.74",,811636026186,Val-Pak
,Aqua-Flo A Series Pump & Motor 208-230/460  50/60Hz 3 PH TEFC,,,,Val-Pak
11505000-T,"1/2 HP 208-230/460 1-1/2"" Suction",$704.96,,811636026193,Val-Pak
11507000-T,"3/4 HP 208-230/460 1-1/2"" Suction",$717.62,,811636026209,Val-Pak
11510000-T,"1 HP 208-230/460 2"" Suction",$729.19,,811636026216,Val-Pak
11515000-T,"1.5 HP 208-230/460 2"" Suction",$787.00,,811636026223,Val-Pak
11520000-T,"2.0 HP 208-230/460 2"" Suction",$854.13,,811636026230,Val-Pak
11530000-T,"3.0 HP 208-230/460 2"" Suction","$1,100.31",,811636026247,Val-Pak
,Aqua-Flo A Series Pump & Motor 208-230-460 50/60Hz 3 PH DP L/Trap,,,,Val-Pak
11505010,"1/2 HP 208-230-460 1-1/2"" Suction",$557.46,,811636026254,Val-Pak
11507010,"3/4 HP 208-230/460 1-1/2"" Suction",$569.82,,811636026261,Val-Pak
11510010,"1 HP 208-230/460 2"" Suction",$579.91,,811636026278,Val-Pak
11515010,"1.5 HP 208-230-460 2"" Suction",$633.43,,811636026285,Val-Pak
11520010,"2.0 HP 208-230/460 2"" Suction",$695.59,,811636026292,Val-Pak
11530020,"3.0 HP 208-230/460 2"" Suction",$923.52,,811636026308,Val-Pak
,Aqua-Flo A Series Liquid End,,,,Val-Pak
11903000,"1/3 HP 1-1/2"" Suction 5"" Trap",$453.00,,811636025097,Val-Pak
11905000,"1/2 HP 1-1/2"" Suction 5"" Trap",$453.00,,811636025103,Val-Pak
11907000,"3/4 HP 1-1/2"" Suction 5"" Trap",$453.00,,811636025110,Val-Pak
11910000,"1.0 HP 2"" Suction 5"" Trap",$453.00,,811636025127,Val-Pak
11915000,"1.5 HP 2"" Suction 5"" Trap",$453.00,,811636025134,Val-Pak
11920000,"2.0 HP 2"" Suction 5"" Trap",$453.00,,811636025141,Val-Pak
11930000,"3.0 HP 2"" Suction 6"" Trap",$614.75,,811636025158,Val-Pak
,Aqua-Flo A Series Liquid End Less Trap,,,,Val-Pak
11903010,"1/3 HP 1-1/2"" Suction ",$369.93,,811636026315,Val-Pak
11905010,"1/2 HP 1-1/2"" Suction ",$369.93,,811636026322,Val-Pak
11907010,"3/4 HP 1-1/2"" Suction",$369.93,,811636026339,Val-Pak
11910010,"1 HP 1-1/2"" Suction",$369.93,,811636026346,Val-Pak
11915010,"1.5 HP 1-1/2"" Suction",$369.93,,811636026353,Val-Pak
11920010,"2 HP 1-1/2"" Suction",$369.93,,811636026360,Val-Pak
11930020,"3 HP 1-1/2"" Suction",$516.50,,811636026377,Val-Pak
,Aqua-Flo AC Series Pump & Motor,,,,Val-Pak
10030010,"3.0 HP High Head 230 Volt 1 Phase 3"" Suction 8"" Trap","$1,952.63",,811636025400,Val-Pak
10130000,"3.0 HP High Head 208-230/460 Volt 3 Phase 3"" Suction 8"" Trap","$1,851.17",,811636025417,Val-Pak
10031010,"3.0 HP Med Head 230 Volt 1 Phase 3"" Suction 8"" Trap","$1,952.63",,811636025424,Val-Pak
10131010,"3.0 HP Med Head 208-230/460 Volt 3 Phase 3"" Suction 8"" Trap","$1,855.52",,811636025431,Val-Pak
10050010,"5.0 HP High Head 230 Volt 1 Phase 3"" Suction 8"" Trap","$2,071.11",,811636025448,Val-Pak
10150010,"5.0 HP High Head 208-230/460 Volt 3 Phase 3"" Suction 8"" Trap","$1,897.02",,811636025455,Val-Pak
,Aqua-Flo A Series Pump Parts,,,,Val-Pak
99730000,"Set Screw 1/4""-20 x 5/16"" (100/Bag)",$0.52,,811636025165,Val-Pak
92520002,Pump Shaft,$21.19,,811636025264,Val-Pak
91140050,Bracket 1/3-2.0 HP,$113.32,,811636025172,Val-Pak
91140150,Bracket 3.0 HP,$220.11,,811636024960,Val-Pak
91500050S,Volute Gasket 1/3-2.0 HP ,$2.94,,811636026384,Val-Pak
91500050,Volute Gasket 1/3-2.0 HP (12/Bag),$1.96,,811636026384,Val-Pak
91500100S,Volute Gasket 3.0 HP ,$3.46,,811636026391,Val-Pak
91500100,Volute Gasket 3.0 HP (12/Bag),$2.30,,811636026391,Val-Pak
92500050,Pump Seal,$5.84,,811636026407,Val-Pak
92500050,Pump Seal (50/Bag),$5.71,,811636026407,Val-Pak
91691000,1/3 HP Impeller,$50.74,,811636025271,Val-Pak
91691051,1/2 HP Impeller,$45.68,,811636025288,Val-Pak
91691101,3/4 HP Impeller,$45.68,,811636025301,Val-Pak
91691151,1.0 HP Impeller,$45.68,,811636025318,Val-Pak
91691201,1.5 HP Impeller,$45.68,,811636025325,Val-Pak
91691251,2.0 HP Impeller,$45.68,,811636025332,Val-Pak
91691300,3.0 HP Impeller,$74.87,,811636025349,Val-Pak
92770050,1/3-2.0 HP Volute,$120.87,,811636025004,Val-Pak
92770150,3.0 HP Volute,$170.32,,811636025011,Val-Pak
91100100,Pump Base (Plastic),$24.79,,811636025356,Val-Pak
