manufacturer,part_number,title,category,type,uom,minimum_order_amount,status,upc,weight,height,length,width,available,discontinued
Zodiac,4716,"Jandy Pro Series Neverlube 2 - 2 1/2"" Positive Seal, 2 Port Valve ",VALVES,wholegood,1,1,Active,52337002059,1.5,4,7.6,6.1,TRUE,FALSE
Zodiac,4715,"Jandy Pro Series Neverlube 1"" -1 1/2"", Positive Seal 3 Port Valve ",VALVES,wholegood,1,1,Active,52337002042,1.5,5.3,6.4,5.6,TRUE,FALSE
Zodiac,4945,"Jandy Pro Series Neverlube 1 1/2-2"" Positive Seal, 3 Port Valve, internal and external stop, B23 ",VALVES,wholegood,1,1,Active,52337002141,1.3,5.3,7.8,6,TRUE,FALSE
Zodiac,4724,"Jandy Pro Series Neverlube 1 1/2-2"" Positive Seal, 2 Port Valve ",VALVES,wholegood,1,1,Active,52337002097,1.4,4.1,6.5,5.5,TRUE,FALSE
Zodiac,7035,"Jandy Pro Series Never Lube 2-2 1/2"" Non-Positive Seal, 3 Port Valve ",VALVES,wholegood,1,1,Active,52337002844,1.53,12,20,13.5,TRUE,FALSE
Zodiac,SVLV2,"Jandy Pro Series Filter Slide Valve 2"" ",VALVES,wholegood,1,1,Active,52337027038,5.9,10.3,23.3,10,TRUE,FALSE
Zodiac,7516+,"Jandy Pro Series Ball Valve 4"", Non-Union Kit. ",VALVES,wholegood,1,1,Active,52337056755,9,0,0,0,TRUE,FALSE
Zodiac,7512,"Jandy Pro Series 90Degree, 2"" - 2 1/2 "" Check Valve ",VALVES,wholegood,1,1,Active,52337003155,1.3,4,5.9,5.3,TRUE,FALSE
Zodiac,7511,"Jandy Pro Series 90Degree, 1 1/2"" - 2"" Check Valve ",VALVES,wholegood,1,1,Active,52337003148,1.3,4.1,7,5.6,TRUE,FALSE
Zodiac,6952,"Jandy Pro Series 3/4"" Ball Valve, Non-Union. ",VALVES,wholegood,1,1,Active,52337052672,0.4,4,3,2,TRUE,FALSE
Zodiac,7515,"Jandy Pro Series 3"" Ball Valve, Non-Union. ",VALVES,wholegood,1,1,Active,52337052726,5,9,9,6,TRUE,FALSE
Zodiac,4719,"Jandy Pro Series 3 Port 2.5""-3""Jandy Valve Packout Assembly ",VALVES,wholegood,1,1,Active,52337002080,3.4,7.4,11,7.9,TRUE,FALSE
Zodiac,BWVL-NVL,Jandy Pro Series 2-in-1 Backwash Valve pre-plumbed for DEV48/DEV60 Filters ,VALVES,wholegood,1,1,Active,52337029018,9.3,13.5,17,10,TRUE,FALSE
Zodiac,BWVL-SLD,"Jandy Pro Series 2"" Slide Valve, 8"" Center to Center Pre-plumbed universal unions DEV48/DEV60 Filters ",VALVES,wholegood,1,1,Active,52337057905,6.9,10.5,23.5,10,TRUE,FALSE
Zodiac,6957,"Jandy Pro Series 2"" Ball Valve, Union. ",VALVES,wholegood,1,1,Active,52337052719,2.3,7.5,6,5,TRUE,FALSE
Zodiac,6956,"Jandy Pro Series 2"" Ball Valve, Non Union. ",VALVES,wholegood,1,1,Active,52337052733,1.7,6,5,4,TRUE,FALSE
Zodiac,2877,"Jandy Pro Series 2"" -2 1/2"" Non-Positive, 3 Port Valve ",VALVES,wholegood,1,1,Active,52337001434,1.7,8,12,12,TRUE,FALSE
Zodiac,2875,"Jandy Pro Series 2"" - 2 1/2"" Positive Seal 3 Port Valve ",VALVES,wholegood,1,1,Active,52337001410,0.8,0,0,7,TRUE,FALSE
Zodiac,4718,"Jandy Pro Series 2 Port 2.5""-3""Jandy Valve Packout Assembly ",VALVES,wholegood,1,1,Active,52337002073,2.7,3.8,10,5.7,TRUE,FALSE
Zodiac,2876,"Jandy Pro Series 2 1/2- 2"" Positive Seal, 2 Port Valve ",VALVES,wholegood,1,1,Active,52337001427,0.7,0,0,5,TRUE,FALSE
Zodiac,7305,"Jandy Pro Series 180Degree, 2"" - 21/2"" Check Valve ",VALVES,wholegood,1,1,Active,52337002981,1.5,4.1,8.8,6,TRUE,FALSE
Zodiac,7235,"Jandy Pro Series 180Degree, 1 1/2"" - 2"" Check Valve ",VALVES,wholegood,1,1,Active,52337002967,1.2,4.1,6.4,4.4,TRUE,FALSE
Zodiac,7307,"Jandy Pro Series 180 Degree, 2 1/2"" - 3"" Check Valve, Packout Assembly ",VALVES,wholegood,1,1,Active,52337002998,2.4,3.9,10.3,5.6,TRUE,FALSE
Zodiac,6953,"Jandy Pro Series 1"" Ball Valve, Non-Union. ",VALVES,wholegood,1,1,Active,52337052689,0.5,0,0,4,TRUE,FALSE
Zodiac,3407,"Jandy Pro Series 1 1/2-2"" Positive Seal, 2 Port Valve, Space-Saver ",VALVES,wholegood,1,1,Active,52337001618,1.2,3.2,8.3,3.5,TRUE,FALSE
Zodiac,1157,"Jandy Pro Series 1 1/2-2"" Positive Seal, 2 Port Valve ",VALVES,wholegood,1,1,Active,52337000994,1.5,5.7,6.7,6.4,TRUE,FALSE
